district,literacy_rate,gender_ratio_f_to_1000m,percent_primary_ed,percent_age_below_29
UTTAR PRADESH - Shrawasti,0.38,881,0.09,0.65
UTTAR PRADESH - Balrampur,0.4,928,0.11,0.66
UTTAR PRADESH - Gonda,0.49,921,0.12,0.65
UTTAR PRADESH - Siddharthnagar,0.48,976,0.13,0.66
UTTAR PRADESH - Basti,0.57,963,0.14,0.64
UTTAR PRADESH - Sant Kabir Nagar,0.56,972,0.17,0.65
UTTAR PRADESH - Mahrajganj,0.53,943,0.14,0.63
UTTAR PRADESH - Gorakhpur,0.61,950,0.14,0.62
UTTAR PRADESH - Kushinagar,0.55,961,0.12,0.63
UTTAR PRADESH - Deoria,0.6,1017,0.15,0.63
UTTAR PRADESH - Azamgarh,0.6,1019,0.29,0.64
UTTAR PRADESH - Mau,0.62,979,0.19,0.64
UTTAR PRADESH - Ballia,0.61,937,0.16,0.61
UTTAR PRADESH - Jaunpur,0.61,1024,0.21,0.63
UTTAR PRADESH - Ghazipur,0.61,952,0.19,0.62
UTTAR PRADESH - Chandauli,0.6,918,0.19,0.63
UTTAR PRADESH - Varanasi,0.65,913,0.17,0.61
UTTAR PRADESH - Sant Ravidas Nagar (Bhadohi),0.58,955,0.18,0.65
UTTAR PRADESH - Mirzapur,0.57,903,0.17,0.64
UTTAR PRADESH - Sonbhadra,0.53,918,0.16,0.65
UTTAR PRADESH - Etah,0.59,873,0.12,0.65
UTTAR PRADESH - Kanshiram Nagar,0.5,880,0.13,0.66
BIHAR - Pashchim Champaran,0.45,909,0.14,0.65
BIHAR - Purba Champaran,0.45,902,0.19,0.65
BIHAR - Sheohar,0.43,893,0.14,0.64
BIHAR - Sitamarhi,0.42,899,0.12,0.64
BIHAR - Madhubani,0.48,926,0.17,0.64
BIHAR - Supaul,0.46,929,0.12,0.65
BIHAR - Araria,0.43,921,0.15,0.67
BIHAR - Kishanganj,0.44,950,0.14,0.67
BIHAR - Purnia,0.41,921,0.11,0.66
BIHAR - Katihar,0.42,919,0.14,0.67
BIHAR - Madhepura,0.42,911,0.09,0.66
BIHAR - Saharsa,0.42,906,0.1,0.66
BIHAR - Darbhanga,0.46,911,0.12,0.64
BIHAR - Muzaffarpur,0.52,900,0.15,0.63
BIHAR - Gopalganj,0.54,1021,0.18,0.64
BIHAR - Siwan,0.58,988,0.18,0.64
BIHAR - Saran,0.55,954,0.18,0.64
BIHAR - Vaishali,0.55,895,0.14,0.62
BIHAR - Samastipur,0.5,911,0.17,0.65
BIHAR - Begusarai,0.52,895,0.16,0.66
BIHAR - Khagaria,0.46,886,0.14,0.67
BIHAR - Bhagalpur,0.52,880,0.17,0.64
BIHAR - Banka,0.47,907,0.19,0.63
BIHAR - Munger,0.59,876,0.12,0.63
BIHAR - Lakhisarai,0.51,902,0.15,0.65
BIHAR - Sheikhpura,0.52,930,0.17,0.65
BIHAR - Nalanda,0.53,922,0.17,0.64
BIHAR - Patna,0.59,897,0.19,0.62
BIHAR - Bhojpur,0.59,907,0.22,0.63
BIHAR - Buxar,0.58,922,0.25,0.63
BIHAR - Kaimur (Bhabua),0.57,920,0.18,0.64
BIHAR - Rohtas,0.61,918,0.19,0.63
BIHAR - Aurangabad,0.58,926,0.19,0.64
BIHAR - Gaya,0.52,937,0.17,0.64
BIHAR - Nawada,0.49,939,0.17,0.65
BIHAR - Jamui,0.49,922,0.18,0.65
BIHAR - Jehanabad,0.55,922,0.15,0.63
BIHAR - Arwal,0.55,928,0.17,0.63
SIKKIM - North  District,0.7,767,0.19,0.62
SIKKIM - West District,0.68,942,0.23,0.62
SIKKIM - South District,0.73,915,0.22,0.6
SIKKIM - East District,0.76,873,0.19,0.58
ARUNACHAL PRADESH - Tawang,0.52,714,0.09,0.61
